campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duration_days,budget_cat,revenue_cat,roi_cat
Persevering zero administration interface,2023-03-27 00:00:00+00:00,2023-10-25 00:00:00+00:00,105257.0,7.857589994014649,email,B2C,promotion,0.44,932323.35,212.0,Alto,Muy Alto,Alto
Re-contextualized global projection,2023-04-28 00:00:00+00:00,2023-10-20 00:00:00+00:00,8179553.0,-0.9133894333834625,webinar,B2C,organic,0.98,708435.72,175.0,Muy Alto,Muy Alto,Pérdida
Advanced optimizing portal,2023-02-08 00:00:00+00:00,2023-08-26 00:00:00+00:00,9767533.0,-0.901542184705186,email,B2B,organic,0.77,961689.96,199.0,Muy Alto,Muy Alto,Pérdida
Total client-driven functionalities,2023-03-26 00:00:00+00:00,2024-06-06 00:00:00+00:00,3299759.0,-0.9560651641528972,podcast,B2B,paid,0.21,144974.37,438.0,Muy Alto,Alto,Pérdida
Grass-roots reciprocal core,2022-11-07 00:00:00+00:00,2024-01-19 00:00:00+00:00,8524947.0,-0.9959363747364061,social media,B2B,paid,0.9,34642.19,438.0,Muy Alto,Bajo,Pérdida
Self-enabling reciprocal algorithm,2022-11-01 00:00:00+00:00,2024-07-29 00:00:00+00:00,864567.0,0.11217736739894071,email,B2B,paid,0.37,961551.85,636.0,Muy Alto,Muy Alto,Bajo
Fundamental holistic policy,2023-01-09 00:00:00+00:00,2024-07-29 00:00:00+00:00,795259.0,-0.2043615601961122,email,B2C,organic,0.64,632738.63,567.0,Muy Alto,Muy Alto,Pérdida
Automated background intranet,2023-06-24 00:00:00+00:00,2023-12-01 00:00:00+00:00,9773037.0,-0.9077941421893727,webinar,B2C,organic,0.34,901131.26,160.0,Muy Alto,Muy Alto,Pérdida
Diverse modular productivity,2023-01-23 00:00:00+00:00,2023-08-19 00:00:00+00:00,662665.0,-0.018273682780892243,email,B2C,referral,0.78,650555.67,208.0,Muy Alto,Muy Alto,Pérdida
Down-sized attitude-oriented conglomeration,2022-08-23 00:00:00+00:00,2024-06-25 00:00:00+00:00,598924.0,0.5231491641677407,email,B2C,referral,0.37,912250.59,672.0,Muy Alto,Muy Alto,Bajo
Universal 24hour process improvement,2022-12-25 00:00:00+00:00,2024-07-02 00:00:00+00:00,3716631.0,-0.8458796017145636,webinar,B2B,referral,0.9,572808.65,555.0,Muy Alto,Muy Alto,Pérdida
Fundamental optimal secured line,2023-07-26 00:00:00+00:00,2024-02-04 00:00:00+00:00,5657094.0,-0.985249023615305,podcast,B2C,referral,0.96,83447.66,193.0,Muy Alto,Medio,Pérdida
Reverse-engineered responsive migration,2023-02-10 00:00:00+00:00,2023-09-23 00:00:00+00:00,917649.0,-0.030806506627261684,webinar,B2C,organic,0.61,889379.44,225.0,Muy Alto,Muy Alto,Pérdida
Organized hybrid intranet,2023-06-03 00:00:00+00:00,2023-11-16 00:00:00+00:00,9124727.0,-0.9365219003264427,social media,B2B,referral,0.0,579220.33,166.0,Muy Alto,Muy Alto,Pérdida
Streamlined intermediate core,2022-08-20 00:00:00+00:00,2024-02-18 00:00:00+00:00,5920177.0,-0.8674737985029839,social media,B2B,promotion,0.65,784578.57,547.0,Muy Alto,Muy Alto,Pérdida
Re-contextualized regional pricing structure,2023-03-18 00:00:00+00:00,2024-06-29 00:00:00+00:00,934974.0,-0.9376153775399102,email,B2B,promotion,0.37,58328.0,469.0,Muy Alto,Medio,Pérdida
Stand-alone client-driven challenge,2022-12-20 00:00:00+00:00,2023-10-06 00:00:00+00:00,1836499.0,-0.7639665798892348,webinar,B2B,paid,0.85,433475.14,290.0,Muy Alto,Muy Alto,Pérdida
Reactive client-driven paradigm,2023-04-09 00:00:00+00:00,2023-10-02 00:00:00+00:00,6325091.0,-0.9949335653826956,email,B2C,paid,0.76,32045.66,176.0,Muy Alto,Bajo,Pérdida
Object-based composite info-mediaries,2023-05-04 00:00:00+00:00,2023-12-19 00:00:00+00:00,5227741.0,-0.839624310003116,webinar,B2C,promotion,0.84,838402.57,229.0,Muy Alto,Muy Alto,Pérdida
User-centric discrete algorithm,2022-09-17 00:00:00+00:00,2024-07-25 00:00:00+00:00,4102286.0,-0.865040248290831,email,B2B,promotion,0.53,553643.5,677.0,Muy Alto,Muy Alto,Pérdida
Cloned discrete customer loyalty,2023-03-21 00:00:00+00:00,2023-10-11 00:00:00+00:00,6949013.0,-0.9006244771739527,email,B2C,paid,0.5,690561.8,204.0,Muy Alto,Muy Alto,Pérdida
Function-based motivating algorithm,2022-11-18 00:00:00+00:00,2024-05-08 00:00:00+00:00,1620528.0,-0.6097140746719587,email,B2B,referral,0.86,632469.27,537.0,Muy Alto,Muy Alto,Pérdida
Devolved local Graphic Interface,2023-01-04 00:00:00+00:00,2024-06-06 00:00:00+00:00,7157557.0,-0.9587818958340115,email,B2C,promotion,0.81,295020.93,519.0,Muy Alto,Muy Alto,Pérdida
Synergized 24hour strategy,2022-09-13 00:00:00+00:00,2023-09-24 00:00:00+00:00,780343.0,-0.07868521919207318,podcast,B2B,paid,0.36,718941.54,376.0,Muy Alto,Muy Alto,Pérdida
Function-based exuding strategy,2023-04-30 00:00:00+00:00,2024-02-25 00:00:00+00:00,8715645.0,-0.9890685428330319,social media,B2C,referral,0.99,95274.7,301.0,Muy Alto,Medio,Pérdida
Synergistic intermediate middleware,2023-07-22 00:00:00+00:00,2023-10-27 00:00:00+00:00,2898424.0,-0.9225748786236934,webinar,B2C,paid,0.93,224410.83,97.0,Muy Alto,Muy Alto,Pérdida
Grass-roots 24/7 orchestration,2023-01-21 00:00:00+00:00,2024-06-25 00:00:00+00:00,3975897.0,-0.9794575136126514,social media,B2C,promotion,0.56,81674.81,521.0,Muy Alto,Medio,Pérdida
Adaptive needs-based initiative,2023-06-04 00:00:00+00:00,2024-07-06 00:00:00+00:00,466183.0,0.832140661499883,email,B2C,organic,0.23,854112.83,398.0,Muy Alto,Muy Alto,Bajo
Automated 5thgeneration attitude,2023-02-05 00:00:00+00:00,2024-06-03 00:00:00+00:00,9638065.0,-0.9963653046539944,email,B2B,referral,0.18,35031.43,484.0,Muy Alto,Bajo,Pérdida
Mandatory secondary access,2022-08-03 00:00:00+00:00,2023-11-04 00:00:00+00:00,4440638.0,-0.9011959227480375,email,B2B,promotion,0.21,438753.14,458.0,Muy Alto,Muy Alto,Pérdida
Digitized analyzing paradigm,2022-09-28 00:00:00+00:00,2023-11-04 00:00:00+00:00,310108.0,1.448970036245437,email,B2B,referral,0.32,759445.2,402.0,Muy Alto,Muy Alto,Medio
Object-based intangible artificial intelligence,2023-03-27 00:00:00+00:00,2023-10-06 00:00:00+00:00,1928856.0,-0.9279533308862871,webinar,B2B,promotion,0.44,138967.65,193.0,Muy Alto,Alto,Pérdida
Proactive mission-critical structure,2022-11-18 00:00:00+00:00,2024-06-28 00:00:00+00:00,5431778.0,-0.9648528474470053,social media,B2C,paid,0.35,190911.53,588.0,Muy Alto,Alto,Pérdida
Object-based grid-enabled model,2023-03-27 00:00:00+00:00,2023-08-30 00:00:00+00:00,4135761.0,-0.7896490077642301,social media,B2B,paid,0.65,869961.43,156.0,Muy Alto,Muy Alto,Pérdida
Seamless executive standardization,2022-11-26 00:00:00+00:00,2024-06-12 00:00:00+00:00,1626119.0,-0.6636234617515692,webinar,B2C,referral,0.52,546988.28,564.0,Muy Alto,Muy Alto,Pérdida
De-engineered homogeneous array,2022-10-11 00:00:00+00:00,2024-06-07 00:00:00+00:00,2712677.0,-0.7324270600591224,webinar,B2C,promotion,0.79,725838.96,605.0,Muy Alto,Muy Alto,Pérdida
Inverse heuristic projection,2023-03-27 00:00:00+00:00,2023-12-10 00:00:00+00:00,9775427.0,-0.9623377833009238,social media,B2C,organic,0.56,368164.25,258.0,Muy Alto,Muy Alto,Pérdida
Diverse asymmetric orchestration,2023-02-22 00:00:00+00:00,2023-08-02 00:00:00+00:00,8650756.0,-0.945838704732858,email,B2C,paid,0.4,468536.15,161.0,Muy Alto,Muy Alto,Pérdida
Reactive zero tolerance core,2023-05-14 00:00:00+00:00,2024-07-29 00:00:00+00:00,7506713.0,-0.8711342634252836,podcast,B2C,promotion,0.44,967358.1,442.0,Muy Alto,Muy Alto,Pérdida
Reverse-engineered 24/7 help-desk,2023-01-19 00:00:00+00:00,2023-09-19 00:00:00+00:00,4683992.0,-0.9641311684563082,social media,B2B,paid,0.28,168009.32,243.0,Muy Alto,Alto,Pérdida
Optimized 24hour budgetary management,2022-12-21 00:00:00+00:00,2024-02-25 00:00:00+00:00,7330528.0,-0.8940959164196631,podcast,B2C,paid,0.48,776332.85,431.0,Muy Alto,Muy Alto,Pérdida
Inverse heuristic encryption,2023-07-07 00:00:00+00:00,2024-05-15 00:00:00+00:00,906124.0,-0.8636257841090182,email,B2B,organic,0.69,123571.95,313.0,Muy Alto,Alto,Pérdida
Realigned empowering initiative,2023-03-06 00:00:00+00:00,2024-03-31 00:00:00+00:00,1854127.0,-0.5771870535297744,email,B2B,paid,0.71,783948.9,391.0,Muy Alto,Muy Alto,Pérdida
Reduced mobile matrices,2022-08-31 00:00:00+00:00,2024-02-17 00:00:00+00:00,737234.0,-0.9151444317543683,webinar,B2C,promotion,0.21,62558.41,535.0,Muy Alto,Medio,Pérdida
Virtual motivating portal,2022-10-31 00:00:00+00:00,2024-07-28 00:00:00+00:00,6070569.0,-0.9052542949433571,webinar,B2B,referral,0.19,575160.34,636.0,Muy Alto,Muy Alto,Pérdida
Customizable executive task-force,2022-08-31 00:00:00+00:00,2024-02-10 00:00:00+00:00,147775.0,4.858060294366435,email,B2C,promotion,0.38,865674.86,528.0,Alto,Muy Alto,Medio
Optional 3rdgeneration open architecture,2023-07-16 00:00:00+00:00,2024-07-24 00:00:00+00:00,8108635.0,-0.9264130337596895,podcast,B2C,organic,0.32,596689.85,374.0,Muy Alto,Muy Alto,Pérdida
Networked 6thgeneration neural-net,2022-11-08 00:00:00+00:00,2023-09-07 00:00:00+00:00,3953414.0,-0.883608572236553,social media,B2B,promotion,0.49,460143.5,303.0,Muy Alto,Muy Alto,Pérdida
Open-architected empowering database,2023-05-25 00:00:00+00:00,2023-12-26 00:00:00+00:00,6378613.0,-0.9856584621139423,podcast,B2C,organic,0.43,91479.12,215.0,Muy Alto,Medio,Pérdida
Multi-channeled human-resource infrastructure,2023-05-30 00:00:00+00:00,2024-04-04 00:00:00+00:00,6388954.0,-0.8458886525086892,webinar,B2C,paid,0.95,984610.31,310.0,Muy Alto,Muy Alto,Pérdida
Distributed intangible software,2022-11-13 00:00:00+00:00,2023-11-27 00:00:00+00:00,1437829.0,-0.5202490351773403,social media,B2B,organic,0.59,689799.85,379.0,Muy Alto,Muy Alto,Pérdida
Switchable clear-thinking challenge,2022-08-23 00:00:00+00:00,2023-08-16 00:00:00+00:00,5763588.0,-0.9665969097721766,webinar,B2B,organic,0.16,192521.65,358.0,Muy Alto,Alto,Pérdida
Customizable 4thgeneration Internet solution,2022-11-14 00:00:00+00:00,2023-08-27 00:00:00+00:00,780807.0,-0.5220561931437603,social media,B2B,promotion,0.6,373181.87,286.0,Muy Alto,Muy Alto,Pérdida
Reduced zero tolerance policy,2023-01-28 00:00:00+00:00,2024-07-10 00:00:00+00:00,9526332.0,-0.9629809605627854,podcast,B2B,promotion,0.33,352655.66,529.0,Muy Alto,Muy Alto,Pérdida
Profound real-time archive,2023-02-23 00:00:00+00:00,2023-12-02 00:00:00+00:00,5419881.0,-0.8551867116639645,webinar,B2C,referral,0.4,784870.79,282.0,Muy Alto,Muy Alto,Pérdida
Inverse static support,2022-11-28 00:00:00+00:00,2024-03-22 00:00:00+00:00,6518968.0,-0.874776222248675,podcast,B2C,referral,0.5,816329.8,480.0,Muy Alto,Muy Alto,Pérdida
Total attitude-oriented support,2023-01-08 00:00:00+00:00,2024-06-29 00:00:00+00:00,8577221.0,-0.9118897799182276,podcast,B2B,organic,0.86,755740.83,538.0,Muy Alto,Muy Alto,Pérdida
Persistent tangible methodology,2023-02-17 00:00:00+00:00,2024-07-25 00:00:00+00:00,8519024.0,-0.8942666460383255,webinar,B2C,promotion,0.48,900744.98,524.0,Muy Alto,Muy Alto,Pérdida
Robust bi-directional hub,2022-11-01 00:00:00+00:00,2023-08-20 00:00:00+00:00,8793171.0,-0.9671775267420594,email,B2C,referral,0.77,288613.62,292.0,Muy Alto,Muy Alto,Pérdida
Virtual content-based standardization,2022-08-23 00:00:00+00:00,2024-04-24 00:00:00+00:00,3465891.0,-0.8278872214965791,social media,B2B,organic,0.59,596524.13,610.0,Muy Alto,Muy Alto,Pérdida
Programmable modular architecture,2023-01-12 00:00:00+00:00,2024-01-28 00:00:00+00:00,578458.0,-0.536963029295126,podcast,B2C,paid,0.7,267847.44,381.0,Muy Alto,Muy Alto,Pérdida
Open-source zero administration extranet,2023-06-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,6565398.0,-0.9511635791158434,social media,B2C,paid,0.96,320630.54,214.0,Muy Alto,Muy Alto,Pérdida
Total asymmetric emulation,2023-03-30 00:00:00+00:00,2024-03-15 00:00:00+00:00,6999624.0,-0.866237923637041,social media,B2C,paid,0.86,936284.24,351.0,Muy Alto,Muy Alto,Pérdida
Streamlined attitude-oriented adapter,2023-07-03 00:00:00+00:00,2024-07-18 00:00:00+00:00,255418.0,1.2515726769452424,social media,B2B,referral,0.33,575092.19,381.0,Muy Alto,Muy Alto,Medio
Operative demand-driven open system,2022-10-04 00:00:00+00:00,2023-10-08 00:00:00+00:00,1129495.0,-0.6545194179699777,email,B2C,paid,0.95,390218.59,369.0,Muy Alto,Muy Alto,Pérdida
Organic impactful approach,2023-07-08 00:00:00+00:00,2023-11-26 00:00:00+00:00,1597125.0,-0.8145825780699695,email,B2B,organic,0.85,296134.8,141.0,Muy Alto,Muy Alto,Pérdida
Cloned leadingedge moderator,2022-11-11 00:00:00+00:00,2024-04-30 00:00:00+00:00,3683848.0,-0.785856574429781,email,B2B,referral,0.72,788871.83,536.0,Muy Alto,Muy Alto,Pérdida
Versatile well-modulated ability,2023-05-28 00:00:00+00:00,2024-03-21 00:00:00+00:00,2450177.0,-0.6781168870657099,podcast,B2B,referral,0.87,788670.6,298.0,Muy Alto,Muy Alto,Pérdida
Self-enabling zero tolerance synergy,2023-06-01 00:00:00+00:00,2024-05-07 00:00:00+00:00,4950524.0,-0.8578356190173001,webinar,B2B,promotion,0.87,703788.18,341.0,Muy Alto,Muy Alto,Pérdida
Polarized systematic parallelism,2023-01-03 00:00:00+00:00,2024-04-25 00:00:00+00:00,547995.0,0.414479602916085,social media,B2B,organic,0.62,775127.75,478.0,Muy Alto,Muy Alto,Bajo
Sharable object-oriented algorithm,2023-01-26 00:00:00+00:00,2023-11-28 00:00:00+00:00,136869.0,1.1798194624056582,podcast,B2B,referral,0.68,298349.71,306.0,Alto,Muy Alto,Medio
Progressive systematic architecture,2022-08-15 00:00:00+00:00,2024-01-11 00:00:00+00:00,730671.0,-0.25957745688552025,webinar,B2B,paid,0.97,541005.28,514.0,Muy Alto,Muy Alto,Pérdida
Decentralized bi-directional forecast,2023-02-03 00:00:00+00:00,2023-11-18 00:00:00+00:00,961688.0,-0.856499498797947,email,B2C,promotion,0.26,138002.71,288.0,Muy Alto,Alto,Pérdida
Multi-lateral coherent hardware,2023-03-20 00:00:00+00:00,2023-12-20 00:00:00+00:00,803987.0,-0.3083961432212212,social media,B2B,paid,0.77,556040.51,275.0,Muy Alto,Muy Alto,Pérdida
Digitized fresh-thinking toolset,2023-07-23 00:00:00+00:00,2024-03-20 00:00:00+00:00,717111.0,-0.6590602849489131,podcast,B2C,referral,0.58,244491.62,241.0,Muy Alto,Muy Alto,Pérdida
Persistent fresh-thinking parallelism,2022-09-26 00:00:00+00:00,2024-07-24 00:00:00+00:00,4045871.0,-0.8148853089977411,email,B2B,organic,0.6,748950.16,667.0,Muy Alto,Muy Alto,Pérdida
Up-sized discrete superstructure,2023-04-08 00:00:00+00:00,2024-02-16 00:00:00+00:00,8503531.0,-0.9313309435809666,webinar,B2C,referral,0.69,583929.45,314.0,Muy Alto,Muy Alto,Pérdida
Implemented next generation productivity,2022-08-16 00:00:00+00:00,2023-12-12 00:00:00+00:00,2888152.0,-0.6925971520889482,email,B2B,referral,0.74,887826.15,483.0,Muy Alto,Muy Alto,Pérdida
Persistent radical approach,2022-10-23 00:00:00+00:00,2023-08-15 00:00:00+00:00,9989135.0,-0.9991718502152589,email,B2C,promotion,0.91,8272.5,296.0,Muy Alto,Muy Bajo,Pérdida
Robust dynamic circuit,2022-10-04 00:00:00+00:00,2024-04-29 00:00:00+00:00,359367.0,0.602015488344784,webinar,B2B,referral,0.13,575711.5,573.0,Muy Alto,Muy Alto,Bajo
Assimilated cohesive contingency,2023-03-10 00:00:00+00:00,2024-07-22 00:00:00+00:00,5208832.0,-0.9835021766875953,podcast,B2B,referral,0.46,85934.39,500.0,Muy Alto,Medio,Pérdida
Distributed heuristic extranet,2022-08-27 00:00:00+00:00,2023-12-31 00:00:00+00:00,1925846.0,-0.5697403894184686,podcast,B2C,promotion,0.22,828613.75,491.0,Muy Alto,Muy Alto,Pérdida
Public-key optimizing open architecture,2023-04-01 00:00:00+00:00,2023-11-13 00:00:00+00:00,3509584.0,-0.9561355020993941,social media,B2C,paid,0.26,153946.14,226.0,Muy Alto,Alto,Pérdida
Self-enabling secondary methodology,2022-09-22 00:00:00+00:00,2024-04-16 00:00:00+00:00,8959174.0,-0.920981859488386,podcast,B2C,promotion,0.16,707937.27,572.0,Muy Alto,Muy Alto,Pérdida
Multi-channeled intermediate project,2023-07-10 00:00:00+00:00,2024-06-11 00:00:00+00:00,3086633.0,-0.8422081147969324,webinar,B2C,paid,0.51,487045.64,337.0,Muy Alto,Muy Alto,Pérdida
Re-engineered 24/7 benchmark,2022-10-07 00:00:00+00:00,2023-08-02 00:00:00+00:00,6076156.0,-0.9076862740192978,podcast,B2C,paid,0.46,560912.6,299.0,Muy Alto,Muy Alto,Pérdida
Automated 6thgeneration solution,2023-04-10 00:00:00+00:00,2023-08-27 00:00:00+00:00,8235152.0,-0.9428681802108814,podcast,B2C,organic,0.27,470489.22,139.0,Muy Alto,Muy Alto,Pérdida
Persevering asymmetric orchestration,2022-10-23 00:00:00+00:00,2024-03-12 00:00:00+00:00,6886082.0,-0.9476208924029659,webinar,B2C,organic,0.82,360686.83,506.0,Muy Alto,Muy Alto,Pérdida
Enhanced web-enabled knowledge user,2023-04-24 00:00:00+00:00,2024-05-25 00:00:00+00:00,7194112.0,-0.8896853774308768,webinar,B2C,referral,0.67,793615.75,397.0,Muy Alto,Muy Alto,Pérdida
Multi-tiered fresh-thinking monitoring,2023-01-31 00:00:00+00:00,2024-01-23 00:00:00+00:00,9248768.0,-0.9416482389870737,social media,B2C,organic,0.48,539681.9,357.0,Muy Alto,Muy Alto,Pérdida
Cloned background ability,2023-05-08 00:00:00+00:00,2023-08-05 00:00:00+00:00,669098.0,-0.3733197827523024,podcast,B2C,referral,0.6,419310.48,89.0,Muy Alto,Muy Alto,Pérdida
Up-sized bifurcated budgetary management,2023-06-21 00:00:00+00:00,2024-03-29 00:00:00+00:00,659323.0,0.31743556648258886,email,B2B,paid,0.64,868615.57,282.0,Muy Alto,Muy Alto,Bajo
Virtual methodical projection,2022-08-28 00:00:00+00:00,2023-08-03 00:00:00+00:00,293944.0,0.7618536183762893,podcast,B2B,referral,0.34,517886.3,340.0,Muy Alto,Muy Alto,Bajo
Configurable 6thgeneration approach,2023-07-20 00:00:00+00:00,2023-08-05 00:00:00+00:00,8989865.0,-0.8953661150640193,social media,B2C,paid,0.94,940644.5,16.0,Muy Alto,Muy Alto,Pérdida
Networked zero administration hardware,2023-06-18 00:00:00+00:00,2024-01-12 00:00:00+00:00,793301.0,0.25213220454783236,webinar,B2C,promotion,0.6,993317.73,208.0,Muy Alto,Muy Alto,Bajo
Integrated dedicated solution,2023-04-25 00:00:00+00:00,2023-09-26 00:00:00+00:00,4987116.0,-0.8489002642007926,webinar,B2B,promotion,0.13,753551.91,154.0,Muy Alto,Muy Alto,Pérdida
Managed coherent Local Area Network,2022-08-22 00:00:00+00:00,2024-07-09 00:00:00+00:00,868988.0,-0.2779361855399614,email,B2B,paid,0.63,627464.79,687.0,Muy Alto,Muy Alto,Pérdida
Assimilated bifurcated policy,2023-07-12 00:00:00+00:00,2024-06-07 00:00:00+00:00,8821978.0,-0.9563453932893508,podcast,B2C,organic,0.9,385119.98,331.0,Muy Alto,Muy Alto,Pérdida
Intuitive secondary initiative,2023-07-21 00:00:00+00:00,2023-10-02 00:00:00+00:00,406919.0,1.2717279851764112,email,B2C,organic,0.5,924409.28,73.0,Muy Alto,Muy Alto,Medio
Reverse-engineered bandwidth-monitored encoding,2023-04-13 00:00:00+00:00,2023-12-22 00:00:00+00:00,726831.0,0.07126242551569759,social media,B2B,paid,0.71,778626.74,253.0,Muy Alto,Muy Alto,Bajo
Adaptive 24/7 open architecture,2023-04-28 00:00:00+00:00,2024-04-26 00:00:00+00:00,1164616.0,-0.9885591473927887,email,B2B,organic,0.81,13324.2,364.0,Muy Alto,Bajo,Pérdida
Grass-roots holistic migration,2022-08-26 00:00:00+00:00,2023-12-23 00:00:00+00:00,8991795.0,-0.9180554316462953,email,B2B,promotion,0.24,736828.76,484.0,Muy Alto,Muy Alto,Pérdida
Face-to-face background methodology,2022-11-26 00:00:00+00:00,2024-04-19 00:00:00+00:00,7809981.0,-0.9314882353747084,webinar,B2C,organic,0.35,535075.58,510.0,Muy Alto,Muy Alto,Pérdida
Visionary neutral attitude,2023-07-02 00:00:00+00:00,2024-07-25 00:00:00+00:00,3571761.0,-0.9590977811785278,podcast,B2C,organic,0.1,146092.95,389.0,Muy Alto,Alto,Pérdida
Grass-roots tertiary adapter,2023-02-21 00:00:00+00:00,2024-03-25 00:00:00+00:00,7424384.0,-0.9241912729729497,webinar,B2B,promotion,0.95,562833.1,398.0,Muy Alto,Muy Alto,Pérdida
Function-based dynamic focus group,2022-12-17 00:00:00+00:00,2024-02-08 00:00:00+00:00,254757.0,2.4126753337494162,webinar,B2C,paid,0.43,869402.93,418.0,Muy Alto,Muy Alto,Medio
Multi-tiered stable installation,2023-03-23 00:00:00+00:00,2024-04-15 00:00:00+00:00,2855253.0,-0.8346273307479232,webinar,B2C,paid,0.2,472180.81,389.0,Muy Alto,Muy Alto,Pérdida
Proactive explicit migration,2023-07-06 00:00:00+00:00,2023-08-06 00:00:00+00:00,3842097.0,-0.7831004422845128,social media,B2C,organic,0.58,833349.14,31.0,Muy Alto,Muy Alto,Pérdida
Reactive eco-centric synergy,2023-07-03 00:00:00+00:00,2024-04-23 00:00:00+00:00,3922515.0,-0.9675093377590653,email,B2B,paid,0.84,127445.11,295.0,Muy Alto,Alto,Pérdida
Automated dedicated budgetary management,2023-08-01 00:00:00+00:00,2024-04-06 00:00:00+00:00,143699.0,5.136218345291199,podcast,B2B,organic,0.87,881768.44,249.0,Alto,Muy Alto,Alto
Multi-channeled coherent moderator,2022-08-10 00:00:00+00:00,2024-03-18 00:00:00+00:00,1100795.0,-0.3821281891723709,podcast,B2C,referral,0.81,680150.2,586.0,Muy Alto,Muy Alto,Pérdida
Synergized bottom-line paradigm,2022-12-06 00:00:00+00:00,2024-07-09 00:00:00+00:00,9443287.0,-0.9444152592206506,social media,B2C,organic,0.2,524902.66,581.0,Muy Alto,Muy Alto,Pérdida
Phased attitude-oriented standardization,2023-07-03 00:00:00+00:00,2024-05-12 00:00:00+00:00,8710053.0,-0.8898255636331949,podcast,B2B,referral,0.32,959625.18,314.0,Muy Alto,Muy Alto,Pérdida
Open-architected bottom-line algorithm,2022-11-11 00:00:00+00:00,2023-11-15 00:00:00+00:00,8147325.0,-0.9421452071692242,webinar,B2C,paid,0.37,471361.8,369.0,Muy Alto,Muy Alto,Pérdida
Open-source homogeneous product,2023-05-31 00:00:00+00:00,2023-09-30 00:00:00+00:00,8992179.0,-0.9529008930983247,webinar,B2B,organic,0.51,423523.6,122.0,Muy Alto,Muy Alto,Pérdida
Reduced tertiary implementation,2022-08-10 00:00:00+00:00,2023-10-22 00:00:00+00:00,935387.0,0.014933637093523838,email,B2B,organic,0.4,949355.73,438.0,Muy Alto,Muy Alto,Bajo
Proactive incremental framework,2022-12-16 00:00:00+00:00,2024-05-21 00:00:00+00:00,9676038.0,-0.9634921679720564,email,B2B,referral,0.33,353251.17,522.0,Muy Alto,Muy Alto,Pérdida
Quality-focused hybrid policy,2023-01-28 00:00:00+00:00,2024-05-10 00:00:00+00:00,9002046.0,-0.9148647307512092,social media,B2C,promotion,0.9,766391.61,468.0,Muy Alto,Muy Alto,Pérdida
Progressive 24hour utilization,2022-11-01 00:00:00+00:00,2024-03-14 00:00:00+00:00,1449584.0,-0.9271113229726597,podcast,B2C,referral,0.56,105658.26,499.0,Muy Alto,Alto,Pérdida
Organized coherent utilization,2022-09-12 00:00:00+00:00,2024-05-18 00:00:00+00:00,788964.0,-0.7969979618841924,email,B2C,referral,0.56,160161.3,614.0,Muy Alto,Alto,Pérdida
Versatile user-facing benchmark,2022-09-19 00:00:00+00:00,2024-05-21 00:00:00+00:00,5365892.0,-0.858123844087805,social media,B2B,promotion,0.0,761292.13,610.0,Muy Alto,Muy Alto,Pérdida
Configurable client-driven migration,2022-12-09 00:00:00+00:00,2024-03-10 00:00:00+00:00,2117232.0,-0.5405820902007904,social media,B2C,referral,0.32,972694.3,457.0,Muy Alto,Muy Alto,Pérdida
Public-key fresh-thinking intranet,2023-07-23 00:00:00+00:00,2024-04-01 00:00:00+00:00,8829695.0,-0.8948738546461684,webinar,B2C,referral,0.13,928231.8,253.0,Muy Alto,Muy Alto,Pérdida
Self-enabling bandwidth-monitored array,2022-09-15 00:00:00+00:00,2024-04-05 00:00:00+00:00,4297096.0,-0.9195919034622452,webinar,B2C,referral,0.68,345521.31,568.0,Muy Alto,Muy Alto,Pérdida
Profound disintermediate analyzer,2022-12-16 00:00:00+00:00,2023-11-09 00:00:00+00:00,494182.0,0.8559910923505916,social media,B2B,paid,0.83,917197.39,328.0,Muy Alto,Muy Alto,Bajo
Multi-tiered multi-tasking support,2022-10-23 00:00:00+00:00,2023-12-08 00:00:00+00:00,380912.0,0.5066209255681102,webinar,B2C,referral,0.2,573889.99,411.0,Muy Alto,Muy Alto,Bajo
Triple-buffered next generation moderator,2023-07-22 00:00:00+00:00,2024-02-17 00:00:00+00:00,9695519.0,-0.937587915613388,webinar,B2B,promotion,0.51,605117.55,210.0,Muy Alto,Muy Alto,Pérdida
Synergistic needs-based framework,2022-10-21 00:00:00+00:00,2024-04-27 00:00:00+00:00,2278798.0,-0.5874370128462462,webinar,B2C,organic,0.29,940147.71,554.0,Muy Alto,Muy Alto,Pérdida
Horizontal national alliance,2022-12-20 00:00:00+00:00,2023-11-10 00:00:00+00:00,5955027.0,-0.9419977440908328,social media,B2C,referral,0.42,345405.0,325.0,Muy Alto,Muy Alto,Pérdida
Team-oriented mobile contingency,2023-03-29 00:00:00+00:00,2024-01-25 00:00:00+00:00,552197.0,0.16599528791355256,podcast,B2B,promotion,0.64,643859.1,302.0,Muy Alto,Muy Alto,Bajo
Persistent grid-enabled contingency,2022-10-14 00:00:00+00:00,2024-02-06 00:00:00+00:00,3897872.0,-0.8125406657786607,podcast,B2C,organic,0.25,730692.49,480.0,Muy Alto,Muy Alto,Pérdida
Reactive real-time array,2023-06-21 00:00:00+00:00,2024-04-13 00:00:00+00:00,7710638.0,-0.9756503741973103,podcast,B2C,promotion,0.39,187751.15,297.0,Muy Alto,Alto,Pérdida
Programmable asynchronous encryption,2023-01-17 00:00:00+00:00,2023-12-22 00:00:00+00:00,1648572.0,-0.9941075245727818,podcast,B2B,referral,0.41,9714.17,339.0,Muy Alto,Muy Bajo,Pérdida
